"store","product","stock","receipt","sales","stockout"
"B","Potato",3.6,9,5.4,"0"
"B","Yam",20.62,21.56,0.94,"0"
"B","Onion",10,10.8,0.8,"0"
"B","Tomato",5.9,22.1,16.2,"0"
"B","Carrot",12.2,15,2.8,"0"
"C","Potato",0,13.5,13.5,"1"
"C","Yam",29.54,13.76,1.1,"0"
"C","Tomato",26.5,42.8,17.7,"0"
"B","Potato",26.1,27,4.5,"0"
"B","Onion",26.4,18,1.6,"0"
"B","Tomato",37.9,36.7,5.5,"0"
"C","Potato",19.8,36,16.2,"0"
"C","Yam",43.76,14.22,0,"0"
"C","Tomato",55.2,44.6,15.9,"0"
"C","Carrot",38.776,36.22,6.344,"0"
"B","Potato",7.2,27,45.9,"0"
"B","Yam",83.82,33.36,0.94,"0"
"B","Onion",39.4,19.8,6.8,"0"
"B","Tomato",102.1,87.9,23.7,"0"
"B","Carrot",31.844,19.5,20.944,"0"
"C","Potato",16.2,18,21.6,"0"
"C","Yam",44.32,1.66,1.1,"0"
"C","Tomato",28.9,4.9,31.2,"0"
"C","Carrot",53.776,27.16,13.36,"0"
"B","Potato",0,-0.9,6.3,"1"
"B","Onion",34,0,5.4,"0"
"B","Tomato",45.6,-17.1,39.4,"0"
"C","Potato",27.9,27,15.3,"0"
"C","Yam",56.4,13.8,1.72,"0"
"C","Onion",35.8,9,1.6,"0"
"C","Tomato",10.7,8.1,26.3,"0"
"C","Carrot",63.276,11.5,2,"0"
"B","Potato",0,6.3,6.3,"1"
"B","Yam",86.12,12.16,6.04,"0"
"B","Tomato",27.3,-4.7,13.6,"1"
"B","Carrot",30.408,19.1,14.532,"0"
"C","Yam",63.12,7.82,1.1,"0"
"C","Tomato",29.3,29.8,11.2,"0"
"B","Potato",0,0,0,"1"
"B","Yam",91.66,8.2,2.66,"0"
"B","Tomato",17.9,12.2,25.5,"0"
"C","Yam",71.92,10.62,1.82,"0"
"C","Carrot",61.944,11.6,9.588,"0"
"B","Potato",5.4,13.5,8.1,"0"
"B","Yam",51.56,-36.22,3.88,"0"
"B","Tomato",16.3,9.1,10.7,"0"
"B","Carrot",19.072,2.8,11.448,"0"
"C","Yam",78.48,8.28,1.72,"0"
"C","Onion",40.6,7,1.6,"0"
"C","Carrot",63.784,10,8.16,"0"
"B","Potato",0,9,14.4,"1"
"B","Onion",34.4,6.4,7.2,"0"
"B","Carrot",12.8,9,15.272,"0"
"C","Yam",55.18,-22.58,0.72,"0"
"C","Carrot",45.884,-10.9,7,"0"
"B","Potato",0,9,9,"1"
"B","Yam",17.22,-28.08,5.26,"0"
"B","Onion",19.2,-11,4.2,"0"
"B","Tomato",3.4,-6.4,15.1,"0"
"B","Carrot",7.932,5.12,9.988,"0"
"C","Potato",1.8,4.5,11.7,"0"
"C","Yam",18.72,-33.7,2.76,"0"
"C","Onion",20.6,-12.6,7.4,"0"
"C","Tomato",26,-9.7,6.5,"1"
"D","Potato",1.8,5.4,3.6,"0"
"D","Yam",13.26,18.8,5.54,"0"
"D","Onion",4,8,4,"1"
"D","Tomato",5.2,6,0.8,"0"
"D","Carrot",6.048,11.32,5.272,"0"
"B","Potato",0.9,12.6,11.7,"0"
"B","Yam",20.5,4,0.72,"0"
"B","Tomato",3.4,0.8,0.8,"0"
"B","Carrot",12.66,15,10.272,"0"
"C","Potato",6.3,11.7,7.2,"0"
"C","Yam",17.7,0.8,1.82,"0"
"C","Onion",14.6,1.4,7.4,"0"
"C","Tomato",4.3,-15.2,6.5,"0"
"C","Carrot",19.096,-1.8,3.072,"1"
"D","Potato",0,2.7,4.5,"1"
"D","Onion",6,4.4,2.4,"1"
"D","Tomato",5.9,3.3,2.6,"0"
"D","Carrot",7.304,5.7,4.444,"0"
"B","Potato",0,0,0.9,"1"
"B","Yam",15.1,-2.52,2.88,"0"
"B","Onion",8.6,0.6,8.4,"0"
"B","Tomato",4.3,18.1,18.6,"0"
"C","Potato",0,-0.9,6.3,"1"
"C","Onion",16.2,4.8,3.2,"0"
"C","Carrot",23.296,13.2,9,"0"
"D","Potato",0,0,0,"1"
"D","Yam",22.56,8.2,1.1,"0"
"D","Onion",6,4,4,"1"
"D","Tomato",1.5,0.800000000000001,5.2,"0"
"D","Carrot",7.304,6,6,"0"
"B","Yam",11.96,-1.42,1.72,"0"
"B","Onion",7,2,4.4,"1"
"C","Potato",0,13.5,13.5,"1"
"C","Yam",20.62,4,4.02,"0"
"C","Onion",11,-4.2,1,"1"
"C","Tomato",0.8,7.6,11.2,"1"
"D","Potato",1.8,13.5,11.7,"0"
"D","Yam",26.52,8.4,4.44,"0"
"D","Onion",7,2,1,"1"
"D","Tomato",0.8,13.1,13.8,"1"
"B","Potato",9.9,13.5,6.3,"0"
"B","Yam",25.6,9.82,1.94,"0"
"B","Tomato",11.7,22.3,17.9,"0"
"C","Potato",0,13.5,13.5,"1"
"C","Onion",7,0.2,4.2,"1"
"C","Tomato",3.8,17.6,14.6,"0"
"C","Carrot",16.3,1.176,5.172,"0"
"D","Potato",0,8.1,9.9,"1"
"D","Tomato",10.3,18.1,8.6,"0"
"D","Carrot",17.448,12.16,3.272,"0"
"B","Potato",10.8,9,8.1,"0"
"B","Yam",29.16,5.5,1.94,"0"
"B","Onion",14.4,10,8.2,"0"
"B","Tomato",20.2,24.1,15.6,"0"
"B","Carrot",17.844,17.7,10.272,"0"
"C","Potato",0,18,18,"1"
"C","Onion",6.4,2.6,3.2,"0"
"C","Tomato",3.2,12.4,13,"1"
"C","Carrot",20.784,9.1,4.616,"0"
"D","Potato",0.9,14.4,14.4,"0"
"D","Onion",8.6,6.8,4.8,"0"
"D","Tomato",12.5,20.4,18.2,"0"
"D","Carrot",16.448,10,11,"0"
"B","Potato",2.7,11.7,19.8,"0"
"B","Yam",33.74,9.12,4.54,"0"
"B","Onion",11,0,3.4,"0"
"B","Carrot",25,12.7,5.544,"0"
"C","Potato",0,14.4,14.4,"1"
"C","Onion",3,6.4,9.8,"1"
"C","Tomato",6.1,29.7,26.8,"0"
"C","Carrot",18.224,5.712,8.272,"0"
"D","Potato",0,12.6,13.5,"1"
"D","Yam",25.18,-4.32,1.1,"0"
"D","Onion",7,2.4,4,"1"
"D","Carrot",20.148,8.7,5,"0"
"B","Potato",0.9,18,19.8,"0"
"B","Yam",28.04,-2.38,4.42,"0"
"B","Onion",11.8,8.4,7.6,"0"
"B","Tomato",20.5,21.2,22.1,"0"
"C","Yam",23.02,4.5,1.1,"0"
"C","Onion",18.6,18,2.4,"0"
"C","Tomato",35.1,45.2,16.2,"1"
"C","Carrot",19.56,10.78,9.444,"0"
"D","Onion",4,5.4,8.4,"1"
"D","Tomato",13.9,27.6,37.2,"0"
"B","Potato",14.4,22.5,9,"0"
"B","Onion",7,1.6,6.4,"1"
"B","Tomato",29.6,22.1,13,"0"
"B","Carrot",24.312,8,11.972,"0"
"C","Potato",8.1,0,27.9,"0"
"C","Onion",11.2,-3.4,4,"0"
"C","Tomato",8.4,5.6,32.3,"0"
"C","Carrot",5.984,-1.632,11.944,"1"
"D","Potato",18.9,31.5,20.7,"0"
"D","Onion",3,8,9,"1"
"D","Tomato",8,8.1,14,"0"
"D","Carrot",19.232,13.6,13.516,"0"
"B","Yam",22.6,3.82,4.32,"0"
"B","Onion",7,5.2,5.2,"1"
"B","Carrot",6.88,1.8,20.232,"0"
"C","Yam",10.04,-3.5,2.54,"0"
"C","Onion",6,2,7.2,"1"
"C","Tomato",3.2,3.2,8.4,"1"
"C","Carrot",5.168,9.8,10.616,"1"
"D","Potato",23.4,18,13.5,"0"
"D","Onion",5,5.2,3.2,"1"
"D","Tomato",10.4,14.9,12.5,"0"
"D","Carrot",24.232,10,5,"0"
"B","Potato",4.5,0,18,"0"
"B","Yam",23.76,1.88,0.72,"0"
"B","Onion",5,6.4,8.4,"1"
"B","Tomato",20.5,10.4,16.4,"0"
"B","Carrot",8.58,9.7,8,"0"
"C","Potato",1.8,18,25.2,"0"
"C","Onion",4,2,4,"1"
"C","Tomato",4.8,24.3,22.7,"1"
"C","Carrot",0.9,4.632,8.9,"1"
"D","Potato",30.6,21.6,14.4,"0"
