"store","product","stock","receipt","sales","stockout"
2,4,3.6,9,5.4,0
2,3,20.62,21.56,0.94,0
2,5,10,10.8,0.8,0
2,1,5.9,22.1,16.2,1
2,2,12.2,15,2.8,0
3,4,0,13.5,13.5,1
3,3,29.54,13.76,1.1,0
3,5,12.4,7.2,4.2,0
3,1,26.5,42.8,17.7,1
3,2,8.9,7,5.8,1
2,4,26.1,27,4.5,0
2,3,51.4,31.72,0.94,0
2,5,26.4,18,1.6,0
2,1,37.9,36.7,5.5,0
2,2,33.288,27.16,6.072,0
3,4,19.8,36,16.2,0
3,3,43.76,14.22,0,0
3,5,25.2,14.4,1.6,0
3,1,55.2,44.6,15.9,0
3,2,38.776,36.22,6.344,0
2,4,7.2,27,45.9,0
2,3,83.82,33.36,0.94,0
2,5,39.4,19.8,6.8,0
2,1,102.1,87.9,23.7,0
2,2,31.844,19.5,20.944,0
3,4,16.2,18,21.6,0
3,3,44.32,1.66,1.1,0
3,5,28.4,9,5.8,0
3,1,28.9,4.9,31.2,1
3,2,53.776,27.16,13.36,0
2,4,0,-0.9,6.3,1
2,3,80,0,3.82,0
2,5,34,0,5.4,0
2,1,45.6,-17.1,39.4,1
2,2,25.84,2.7,9.704,0
3,4,27.9,27,15.3,0
3,3,56.4,13.8,1.72,0
3,5,35.8,9,1.6,0
3,1,10.7,8.1,26.3,0
3,2,63.276,11.5,2,0
2,4,0,6.3,6.3,1
2,3,86.12,12.16,6.04,0
2,5,29.8,8,12.2,0
2,1,27.3,-4.7,13.6,1
2,2,30.408,19.1,14.532,0
3,4,23.4,6.3,10.8,0
3,3,63.12,7.82,1.1,0
3,5,38.2,8,5.6,0
3,1,29.3,29.8,11.2,0
3,2,59.932,7.1,10.444,0
2,4,0,0,0,1
2,3,91.66,8.2,2.66,0
2,5,30.6,10.2,10.4,0
2,1,17.9,12.2,25.5,0
2,2,27.72,19.5,24.088,0
3,4,11.7,0,11.7,0
3,3,71.92,10.62,1.82,0
3,5,35.2,7,10,0
3,1,34.3,16.2,11.2,0
3,2,61.944,11.6,9.588,0
2,4,5.4,13.5,8.1,0
2,3,51.56,-36.22,3.88,0
2,5,35.2,15,10.4,0
2,1,16.3,9.1,10.7,0
2,2,19.072,2.8,11.448,0
3,4,14.4,9,7.2,0
3,3,78.48,8.28,1.72,0
3,5,40.6,7,1.6,0
3,1,41.9,14.4,6.8,0
3,2,63.784,10,8.16,0
2,4,0,9,14.4,1
2,3,50.56,0,1,0
2,5,34.4,6.4,7.2,0
2,1,23.6,21.1,13.8,0
2,2,12.8,9,15.272,1
3,4,9,9,14.4,0
3,3,55.18,-22.58,0.72,0
3,5,40.6,8,8,0
3,1,42.2,8.1,7.8,0
3,2,45.884,-10.9,7,0
2,4,0,9,9,1
2,3,17.22,-28.08,5.26,1
2,5,19.2,-11,4.2,0
2,1,3.4,-6.4,15.1,1
2,2,7.932,5.12,9.988,1
3,4,1.8,4.5,11.7,0
3,3,18.72,-33.7,2.76,1
3,5,20.6,-12.6,7.4,0
3,1,26,-9.7,6.5,1
3,2,23.968,-8.1,13.816,0
4,4,1.8,5.4,3.6,0
4,3,13.26,18.8,5.54,1
4,5,4,8,4,1
4,1,5.2,6,0.8,0
4,2,6.048,11.32,5.272,1
2,4,0.9,12.6,11.7,0
2,3,20.5,4,0.72,0
2,5,16.4,8,10.8,0
2,1,3.4,0.8,0.8,1
2,2,12.66,15,10.272,0
3,4,6.3,11.7,7.2,0
3,3,17.7,0.8,1.82,0
3,5,14.6,1.4,7.4,0
3,1,4.3,-15.2,6.5,0
3,2,19.096,-1.8,3.072,1
4,4,0,2.7,4.5,1
4,3,15.46,6.24,4.04,1
4,5,6,4.4,2.4,1
4,1,5.9,3.3,2.6,1
4,2,7.304,5.7,4.444,1
2,4,0,0,0.9,1
2,3,15.1,-2.52,2.88,0
2,5,8.6,0.6,8.4,0
2,1,4.3,18.1,18.6,0
2,2,4.072,0.5,9.36,0
3,4,0,-0.9,6.3,1
3,3,20.64,4.04,1.1,0
3,5,16.2,4.8,3.2,0
3,1,4.4,5.6,5.5,1
3,2,23.296,13.2,9,1
4,4,0,0,0,1
4,3,22.56,8.2,1.1,0
4,5,6,4,4,1
4,1,1.5,0.800000000000001,5.2,1
4,2,7.304,6,6,1
2,4,1.8,13.5,11.7,0
2,3,11.96,-1.42,1.72,1
2,5,7,2,4.4,1
2,1,7.3,16.8,13.8,0
2,2,3.072,10.9,12.9,0
3,4,0,13.5,13.5,1
3,3,20.62,4,4.02,0
3,5,11,-4.2,1,1
3,1,0.8,7.6,11.2,1
3,2,20.296,6,9,1
4,4,1.8,13.5,11.7,0
4,3,26.52,8.4,4.44,0
4,5,7,2,1,1
4,1,0.8,13.1,13.8,1
4,2,8.56,7.8,6.544,1
2,4,9.9,13.5,6.3,0
2,3,25.6,9.82,1.94,0
2,5,12.6,10,4.4,0
2,1,11.7,22.3,17.9,0
2,2,10.416,13.16,6.816,0
3,4,0,13.5,13.5,1
3,3,25.5,6.98,2.1,0
3,5,7,0.2,4.2,1
3,1,3.8,17.6,14.6,1
3,2,16.3,1.176,5.172,1
4,4,0,8.1,9.9,1
4,3,33.42,7.62,0.72,0
4,5,6.6,4.8,5.2,0
4,1,10.3,18.1,8.6,0
4,2,17.448,12.16,3.272,0
2,4,10.8,9,8.1,0
2,3,29.16,5.5,1.94,0
2,5,14.4,10,8.2,0
2,1,20.2,24.1,15.6,0
2,2,17.844,17.7,10.272,0
3,4,0,18,18,1
3,3,19.32,-5.08,1.1,0
3,5,6.4,2.6,3.2,0
3,1,3.2,12.4,13,1
3,2,20.784,9.1,4.616,1
4,4,0.9,14.4,14.4,0
4,3,30.6,0,2.82,0
4,5,8.6,6.8,4.8,0
4,1,12.5,20.4,18.2,0
4,2,16.448,10,11,1
2,4,2.7,11.7,19.8,0
2,3,33.74,9.12,4.54,0
2,5,11,0,3.4,0
2,1,21.4,22.5,21.3,0
2,2,25,12.7,5.544,0
3,4,0,14.4,14.4,1
3,3,19.62,1.4,1.1,0
3,5,3,6.4,9.8,1
3,1,6.1,29.7,26.8,1
3,2,18.224,5.712,8.272,0
4,4,0,12.6,13.5,1
4,3,25.18,-4.32,1.1,0
4,5,7,2.4,4,1
4,1,23.5,18.3,7.3,0
4,2,20.148,8.7,5,0
2,4,0.9,18,19.8,0
